Hashtag,Username,User handle,Date of posting,Text,Retweet count,Like count,MLM
#etsy,Pinup Artist • sfw & nsfw art,@__ryusart,Mon Mar 28 22:19:21 +0000 2022,"Someone suggested I should draw Celine, and I wanna know who really wants a Celine print https://t.co/ayeYxQ0Izb… https://t.co/mTd1bIbg7o",0,3,0
#lularoe,️,@_aaashleey,Mon Mar 28 03:30:04 +0000 2022,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset… https://t.co/DJ3uPJe2rC,0,0,1
#minted,DoodleFriends.sol,@_DoodleFriends,Tue Mar 22 03:12:19 +0000 2022,Great news! #204 was just minted!! Grab it while you can…https://t.co/30mVhUw8Vq…#NFTCommunity #NFTProject… https://t.co/eDaaihEwWh,0,2,0
#herbalife,MaFifi,@_Fifinky,Mon Mar 21 19:35:41 +0000 2022,#herbalife #skincareI'm placing orders. 25%discount on all skin care products https://t.co/BrenKG0F0s,0,0,1
#avon,Keshia Owen,@_GoldenKe,Mon Mar 28 00:29:01 +0000 2022,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset… https://t.co/FeQ2yFDWnM,0,0,1
#etsy,Carol,@_knittingtopia,Tue Mar 29 02:00:07 +0000 2022,Hand knitted baby ribbed hat in blue 17 inch head 6 - 12 months https://t.co/MQ1ZKMJIP5 #knittingtopia #etsy… https://t.co/Kg7i7xfnSZ,0,0,0
#etsy,Carol,@_knittingtopia,Mon Mar 28 23:00:07 +0000 2022,Hand knitted baby girls boys jumper 6 - 12 months purple https://t.co/cjggULIVH2 #knittingtopia #etsy #handmade… https://t.co/mNVknEUVtT,0,0,0
#avon,Rebecca Elaine,@_rebecca_elaine,Sun Mar 27 12:40:31 +0000 2022,"Have some fun with lots of shades, perhaps an eye-catching sky blue, or even try shiny eyeliner! Be brave with your… https://t.co/tRXqIxRLti",0,0,1
#avon,Rebecca Elaine,@_rebecca_elaine,Thu Mar 24 13:05:26 +0000 2022,"Begin with concealer to tidy up your base, blend out pencil eyeliner to create a quick smoky eye, and complete the… https://t.co/BYIFc7qgdb",0,0,1
#avon,Rebecca Elaine,@_rebecca_elaine,Wed Mar 23 12:40:24 +0000 2022,Masks takes out all of the exertion of doing your whole routine sometimes. Exfoliating masks are perfect if you nee… https://t.co/H5t00YnIZB,0,1,1
#avon,Rebecca Elaine,@_rebecca_elaine,Tue Mar 22 17:40:45 +0000 2022,"Do you love a more natural, grown-out look? Or are you devoted to a perfectly carved out arch? … https://t.co/DbMAQlC5d1",0,1,1
#etsy,unique arts studio®,@_UniqueArts,Mon Mar 28 22:52:18 +0000 2022,Excited to share the latest addition to my #etsy shop: Bauhaus Print - Green Triangle - Modernist Bedroom Decor - H… https://t.co/tEfqrFLPW2,0,0,0
#etsy,unique arts studio®,@_UniqueArts,Mon Mar 28 22:51:53 +0000 2022,"Excited to share the latest addition to my #etsy shop: Keith Haring Poster - Emporium Capwell, 1985 - Haring Exhibi… https://t.co/qu2QiAKpXt",0,0,0
#etsy,unique arts studio®,@_UniqueArts,Mon Mar 28 22:51:22 +0000 2022,Excited to share the latest addition to my #etsy shop: David Shrigley Print - I Did Not Ask To Be A Bird - 2021 - K… https://t.co/rXr6QZyHp6,0,0,0
#herbalife,Poseur Mota ,@0161quorn,Thu Mar 24 12:00:27 +0000 2022,Can you show this to Phil @barrowafc ? Willing to play anywhere across the back #baller #showreel #herbalife https://t.co/pTO0JulJW7,0,8,1
#avon,Michelle Beecham,@01shell,Wed Mar 23 14:30:38 +0000 2022,Ever thought about exactly how to discover the perfect blush for you? Check out this handy guide for super simple s… https://t.co/XiqtDIKt8X,0,0,1
#avon,Michelle Beecham,@01shell,Tue Mar 22 11:20:32 +0000 2022,Beauty That Really Gives Back!Treat yourself to a mystery box! 5 beauty favourites for only £10! Enjoy your… https://t.co/vjT3QMH7lu,0,0,1
